name,quantity,unit,price_per_unit,low_stock_threshold,description
Copper Component Type-1,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 1 for stress verification
Copper Component Type-2,150.5,rolls,45.99,20.0,Fitted bulk element batch number 2 for stress verification
Copper Component Type-3,150.5,sheets,45.99,20.0,Fitted bulk element batch number 3 for stress verification
Copper Component Type-4,150.5,pieces,45.99,20.0,Fitted bulk element batch number 4 for stress verification
Copper Component Type-5,150.5,lbs,45.99,20.0,Fitted bulk element batch number 5 for stress verification
Copper Component Type-6,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 6 for stress verification
Copper Component Type-7,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 7 for stress verification
Copper Component Type-8,150.5,rolls,45.99,20.0,Fitted bulk element batch number 8 for stress verification
Copper Component Type-9,150.5,sheets,45.99,20.0,Fitted bulk element batch number 9 for stress verification
Copper Component Type-10,150.5,pieces,45.99,20.0,Fitted bulk element batch number 10 for stress verification
Copper Component Type-11,150.5,lbs,45.99,20.0,Fitted bulk element batch number 11 for stress verification
Copper Component Type-12,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 12 for stress verification
Copper Component Type-13,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 13 for stress verification
Copper Component Type-14,150.5,rolls,45.99,20.0,Fitted bulk element batch number 14 for stress verification
Copper Component Type-15,150.5,sheets,45.99,20.0,Fitted bulk element batch number 15 for stress verification
Copper Component Type-16,150.5,pieces,45.99,20.0,Fitted bulk element batch number 16 for stress verification
Copper Component Type-17,150.5,lbs,45.99,20.0,Fitted bulk element batch number 17 for stress verification
Copper Component Type-18,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 18 for stress verification
Copper Component Type-19,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 19 for stress verification
Copper Component Type-20,150.5,rolls,45.99,20.0,Fitted bulk element batch number 20 for stress verification
Copper Component Type-21,150.5,sheets,45.99,20.0,Fitted bulk element batch number 21 for stress verification
Copper Component Type-22,150.5,pieces,45.99,20.0,Fitted bulk element batch number 22 for stress verification
Copper Component Type-23,150.5,lbs,45.99,20.0,Fitted bulk element batch number 23 for stress verification
Copper Component Type-24,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 24 for stress verification
Copper Component Type-25,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 25 for stress verification
Copper Component Type-26,150.5,rolls,45.99,20.0,Fitted bulk element batch number 26 for stress verification
Copper Component Type-27,150.5,sheets,45.99,20.0,Fitted bulk element batch number 27 for stress verification
Copper Component Type-28,150.5,pieces,45.99,20.0,Fitted bulk element batch number 28 for stress verification
Copper Component Type-29,150.5,lbs,45.99,20.0,Fitted bulk element batch number 29 for stress verification
Copper Component Type-30,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 30 for stress verification
Copper Component Type-31,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 31 for stress verification
Copper Component Type-32,150.5,rolls,45.99,20.0,Fitted bulk element batch number 32 for stress verification
Copper Component Type-33,150.5,sheets,45.99,20.0,Fitted bulk element batch number 33 for stress verification
Copper Component Type-34,150.5,pieces,45.99,20.0,Fitted bulk element batch number 34 for stress verification
Copper Component Type-35,150.5,lbs,45.99,20.0,Fitted bulk element batch number 35 for stress verification
Copper Component Type-36,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 36 for stress verification
Copper Component Type-37,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 37 for stress verification
Copper Component Type-38,150.5,rolls,45.99,20.0,Fitted bulk element batch number 38 for stress verification
Copper Component Type-39,150.5,sheets,45.99,20.0,Fitted bulk element batch number 39 for stress verification
Copper Component Type-40,150.5,pieces,45.99,20.0,Fitted bulk element batch number 40 for stress verification
Copper Component Type-41,150.5,lbs,45.99,20.0,Fitted bulk element batch number 41 for stress verification
Copper Component Type-42,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 42 for stress verification
Copper Component Type-43,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 43 for stress verification
Copper Component Type-44,150.5,rolls,45.99,20.0,Fitted bulk element batch number 44 for stress verification
Copper Component Type-45,150.5,sheets,45.99,20.0,Fitted bulk element batch number 45 for stress verification
Copper Component Type-46,150.5,pieces,45.99,20.0,Fitted bulk element batch number 46 for stress verification
Copper Component Type-47,150.5,lbs,45.99,20.0,Fitted bulk element batch number 47 for stress verification
Copper Component Type-48,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 48 for stress verification
Copper Component Type-49,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 49 for stress verification
Copper Component Type-50,150.5,rolls,45.99,20.0,Fitted bulk element batch number 50 for stress verification
